Case_Number,Fault_Resistance,Fault_Angle,Fault_Duration,Vnadir,Number of Trips,Number of Chatters,Value of Chatters,Final_Output,Segment 1_Stall,Segment2_Stall,Segment3_Stall,TMS,,T1_Measured,V1_Measured,T2_Measured,V2_Measured,,,,,,
363,3.062067153,2.001202594,0.093815685,0.915576591,0,0,0,0,0,0,0,0,,NaN,0.998176677,-0.051322594,0.999988898,,,,,,
364,3.180799605,1.998581531,0.074809381,0.918092604,0,0,0,0,0,0,0,0,,NaN,0.996631677,-0.048701531,0.999988898,,,,,,
365,0.747490418,2.000331003,0.097644479,0.80797357,3,0,3,3,1,1,1,30,,0.009668997,0.813495717,0.109388997,0.903050852,,,,,,
366,0.359057583,1.996673257,0.078354459,0.756788298,3,0,3,3,1,1,1,30,,0.011286743,0.758331105,97.446743,0.8606,,,,,,
367,1.782344803,1.998228118,0.073246622,0.865025968,0,3,1.5,1.5,1,1,1,30,,0.036011882,0.928700844,0.086771882,0.926894677,,,,,,
368,2.58525204,2.00097242,0.075061092,0.903322454,0,0,0,0,0,0,0,0,,NaN,0.99814094,-0.05109242,0.999988898,,,,,,
369,2.837459323,2.000286152,0.087214288,0.909982746,0,0,0,0,0,0,0,0,,NaN,0.994696574,-0.050406152,0.999988898,,,,,,
370,3.018746728,2.001215513,0.082460519,0.914639222,0,0,0,0,0,0,0,0,,NaN,0.995266665,-0.051335513,0.999988898,,,,,,
371,0.104100308,1.999528004,0.078410262,0.698280424,3,0,3,3,1,1,1,30,,0.010711996,0.699722244,0.093631996,0.841946333,,,,,,
372,2.718810707,1.996083398,0.094366593,0.908867002,0,0,0,0,0,0,0,0,,NaN,0.996994992,-0.046203398,0.999988898,,,,,,
373,2.620392016,2.000602385,0.086189294,0.904113549,0,0,0,0,0,0,0,0,,NaN,0.994338587,-0.050722385,0.999988898,,,,,,
374,0.650446941,2.001073851,0.085005796,0.800783447,3,0,3,3,1,1,1,30,,0.008806149,0.802164185,0.104326149,0.86790772,,,,,,
375,0.475990726,1.999655751,0.097242549,0.77575565,3,0,3,3,1,1,1,30,,0.010224249,0.777761758,0.109944249,0.884008135,,,,,,
376,0.493456208,2.000094667,0.076218439,0.779642237,3,0,3,3,1,1,1,30,,0.009785333,0.780447837,0.092825333,0.886315691,,,,,,
377,3.838975834,2.000013514,0.091914768,0.929328482,0,0,0,0,0,0,0,0,,NaN,0.99836849,-0.050133514,0.999988898,,,,,,
378,0.571542907,1.998064039,0.091799179,0.790359797,3,0,3,3,1,1,1,30,,0.011335961,0.791923865,0.106855961,0.862477468,,,,,,
379,2.541071004,1.999526544,0.079368847,0.901574668,0,0,0,0,0,0,0,0,,NaN,0.998144645,-0.049646544,0.999988898,,,,,,
380,0.695247758,1.996836037,0.085608461,0.806719192,3,0,3,3,1,1,1,30,,0.011723963,0.807658345,0.097403963,0.891926867,,,,,,
381,0.338335649,1.997847059,0.0943073,0.751747348,3,0,3,3,1,1,1,30,,0.011312941,0.754341027,0.112232941,0.866654282,,,,,,
382,1.69713055,1.996760125,0.080003456,0.863293393,0,3,1.5,1.5,0,0,0,0,,0.036759875,0.878164012,0.094599875,0.924827499,,,,,,
383,0.614589054,1.996024013,0.091463,0.795992719,3,0,3,3,1,1,1,30,,0.011455987,0.797735691,0.106495987,0.880646769,,,,,,
384,0.291248954,1.998421419,0.06710598,0.744235239,3,0,3,3,1,1,1,30,,0.011098581,0.744919111,0.078178581,0.866570023,,,,,,
