Domain, Vposmag, PriVposmag, PriIposmag, Iposmag,,Domain, Signal, Signal1, Signal2
1.96404,7.324845224,39.74465305,0.095587923,0.53025561,,1.96404,0,0,0
1.96416,7.324845224,39.74465305,0.095587923,0.53025561,,1.96416,0,0,0
1.96428,7.324845224,39.74465305,0.095587923,0.53025561,,1.96428,0,0,0
1.9644,7.324845224,39.74465305,0.095587923,0.53025561,,1.9644,0,0,0
1.96452,7.324845224,39.74465305,0.095587923,0.53025561,,1.96452,0,0,0
1.96464,7.324876624,39.74465661,0.095583593,0.530231524,,1.96464,0,0,0
1.96476,7.324876624,39.74465661,0.095583593,0.530231524,,1.96476,0,0,0
1.96488,7.324876624,39.74465661,0.095583593,0.530231524,,1.96488,0,0,0
1.965,7.324876624,39.74465661,0.095583593,0.530231524,,1.965,0,0,0
1.96512,7.324876624,39.74465661,0.095583593,0.530231524,,1.96512,0,0,0
1.96524,7.324876624,39.74465661,0.095583593,0.530231524,,1.96524,0,0,0
1.96536,7.324876624,39.74465661,0.095583593,0.530231524,,1.96536,0,0,0
1.96548,7.324876624,39.74465661,0.095583593,0.530231524,,1.96548,0,0,0
1.9656,7.324876624,39.74465661,0.095583593,0.530231524,,1.9656,0,0,0
1.96572,7.324803235,39.74465796,0.095582702,0.530226671,,1.96572,0,0,0
1.96584,7.324803235,39.74465796,0.095582702,0.530226671,,1.96584,0,0,0
1.96596,7.324803235,39.74465796,0.095582702,0.530226671,,1.96596,0,0,0
1.96608,7.324803235,39.74465796,0.095582702,0.530226671,,1.96608,0,0,0
1.9662,7.324803235,39.74465796,0.095582702,0.530226671,,1.9662,0,0,0
1.96632,7.324803235,39.74465796,0.095582702,0.530226671,,1.96632,0,0,0
1.96644,7.324803235,39.74465796,0.095582702,0.530226671,,1.96644,0,0,0
1.96656,7.324803235,39.74465796,0.095582702,0.530226671,,1.96656,0,0,0
1.96668,7.324768968,39.74465381,0.095586969,0.53025027,,1.96668,0,0,0
1.9668,7.324768968,39.74465381,0.095586969,0.53025027,,1.9668,0,0,0
1.96692,7.324768968,39.74465381,0.095586969,0.53025027,,1.96692,0,0,0
1.96704,7.324768968,39.74465381,0.095586969,0.53025027,,1.96704,0,0,0
1.96716,7.324768968,39.74465381,0.095586969,0.53025027,,1.96716,0,0,0
1.96728,7.324768968,39.74465381,0.095586969,0.53025027,,1.96728,0,0,0
1.9674,7.324768968,39.74465381,0.095586969,0.53025027,,1.9674,0,0,0
1.96752,7.324768968,39.74465381,0.095586969,0.53025027,,1.96752,0,0,0
1.96764,7.324768968,39.74465381,0.095586969,0.53025027,,1.96764,0,0,0
1.96776,7.32482832,39.74465058,0.095590054,0.53026728,,1.96776,0,0,0
1.96788,7.32482832,39.74465058,0.095590054,0.53026728,,1.96788,0,0,0
1.968,7.32482832,39.74465058,0.095590054,0.53026728,,1.968,0,0,0
1.96812,7.32482832,39.74465058,0.095590054,0.53026728,,1.96812,0,0,0
1.96824,7.32482832,39.74465058,0.095590054,0.53026728,,1.96824,0,0,0
1.96836,7.32482832,39.74465058,0.095590054,0.53026728,,1.96836,0,0,0
1.96848,7.32482832,39.74465058,0.095590054,0.53026728,,1.96848,0,0,0
1.9686,7.32482832,39.74465058,0.095590054,0.53026728,,1.9686,0,0,0
1.96872,7.32482832,39.74465058,0.095590054,0.53026728,,1.96872,0,0,0
1.96884,7.324869637,39.74465234,0.095588443,0.53025838,,1.96884,0,0,0
1.96896,7.324869637,39.74465234,0.095588443,0.53025838,,1.96896,0,0,0
1.96908,7.324869637,39.74465234,0.095588443,0.53025838,,1.96908,0,0,0
1.9692,7.324869637,39.74465234,0.095588443,0.53025838,,1.9692,0,0,0
1.96932,7.324869637,39.74465234,0.095588443,0.53025838,,1.96932,0,0,0
1.96944,7.324869637,39.74465234,0.095588443,0.53025838,,1.96944,0,0,0
1.96956,7.324869637,39.74465234,0.095588443,0.53025838,,1.96956,0,0,0
1.96968,7.324869637,39.74465234,0.095588443,0.53025838,,1.96968,0,0,0
1.9698,7.324846875,39.74465347,0.095587986,0.530255961,,1.9698,0,0,0
1.96992,7.324846875,39.74465347,0.095587986,0.530255961,,1.96992,0,0,0
1.97004,7.324846875,39.74465347,0.095587986,0.530255961,,1.97004,0,0,0
1.97016,7.324846875,39.74465347,0.095587986,0.530255961,,1.97016,0,0,0
1.97028,7.324846875,39.74465347,0.095587986,0.530255961,,1.97028,0,0,0
1.9704,7.324846875,39.74465347,0.095587986,0.530255961,,1.9704,0,0,0
1.97052,7.324846875,39.74465347,0.095587986,0.530255961,,1.97052,0,0,0
1.97064,7.324846875,39.74465347,0.095587986,0.530255961,,1.97064,0,0,0
1.97076,7.324846875,39.74465347,0.095587986,0.530255961,,1.97076,0,0,0
1.97088,7.324823702,39.74465184,0.095590076,0.530267591,,1.97088,0,0,0
1.971,7.324823702,39.74465184,0.095590076,0.530267591,,1.971,0,0,0
1.97112,7.324823702,39.74465184,0.095590076,0.530267591,,1.97112,0,0,0
1.97124,7.324823702,39.74465184,0.095590076,0.530267591,,1.97124,0,0,0
1.97136,7.324823702,39.74465184,0.095590076,0.530267591,,1.97136,0,0,0
1.97148,7.324823702,39.74465184,0.095590076,0.530267591,,1.97148,0,0,0
1.9716,7.324823702,39.74465184,0.095590076,0.530267591,,1.9716,0,0,0
1.97172,7.324823702,39.74465184,0.095590076,0.530267591,,1.97172,0,0,0
1.97184,7.324823702,39.74465184,0.095590076,0.530267591,,1.97184,0,0,0
1.97196,7.324844206,39.74464994,0.09559109,0.530273021,,1.97196,0,0,0
1.97208,7.324844206,39.74464994,0.09559109,0.530273021,,1.97208,0,0,0
1.9722,7.324844206,39.74464994,0.09559109,0.530273021,,1.9722,0,0,0
1.97232,7.324844206,39.74464994,0.09559109,0.530273021,,1.97232,0,0,0
1.97244,7.324844206,39.74464994,0.09559109,0.530273021,,1.97244,0,0,0
1.97256,7.324844206,39.74464994,0.09559109,0.530273021,,1.97256,0,0,0
